HB 2    ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00002F.pdf#navpanes=0
HB 4    ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00004F.pdf#navpanes=0
HB 5    ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00005F.pdf#navpanes=0
HB 7    ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00007F.pdf#navpanes=0
HB 9    ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00009F.pdf#navpanes=0
HB 16   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00016F.pdf#navpanes=0
HB 17   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00017F.pdf#navpanes=0
HB 18   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00018F.pdf#navpanes=0
HB 19   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00019F.pdf#navpanes=0
HB 21   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00021F.pdf#navpanes=0
HB 29   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00029F.pdf#navpanes=0
HB 30   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00030F.pdf#navpanes=0
HB 33   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00033F.pdf#navpanes=0
HB 39   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00039F.pdf#navpanes=0
HB 54   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00054F.pdf#navpanes=0
HB 79   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00079F.pdf#navpanes=0
HB 80   ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00080F.pdf#navpanes=0
HB 103  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00103F.pdf#navpanes=0
HB 113  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00113F.pdf#navpanes=0
HB 115  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00115F.pdf#navpanes=0
HB 119  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00119F.pdf#navpanes=0
HB 133  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00133F.pdf#navpanes=0
HB 135  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00135F.pdf#navpanes=0
HB 139  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00139F.pdf#navpanes=0
HB 159  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00159F.pdf#navpanes=0
HB 180  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00180F.pdf#navpanes=0
HB 189  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00189F.pdf#navpanes=0
HB 222  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00222F.pdf#navpanes=0
HB 246  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00246F.pdf#navpanes=0
HB 295  ,https://capitol.texas.gov/tlodocs/87R/billtext/pdf/HB00295F.pdf#navpanes=0
