bill no. ,status,url
HB 4627,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04627F.pdf#navpanes=0
HB 4666,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04666F.pdf#navpanes=0
HB 4641,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04641F.pdf#navpanes=0
HB 4638,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04638F.pdf#navpanes=0
HB 4628,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04628F.pdf#navpanes=0
HB 4635,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04635F.pdf#navpanes=0
HB 4634,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04634F.pdf#navpanes=0
HB 4642,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04642F.pdf#navpanes=0
HB 4616,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04616F.pdf#navpanes=0
HB 4615,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04615F.pdf#navpanes=0
HB 4621,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04621F.pdf#navpanes=0
HB 4614,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04614F.pdf#navpanes=0
HB 4612,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04612F.pdf#navpanes=0
HB 4609,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04609F.pdf#navpanes=0
HB 4606,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04606F.pdf#navpanes=0
HB 4604,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04604F.pdf#navpanes=0
HB 4626,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04626F.pdf#navpanes=0
HB 4580,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04580F.pdf#navpanes=0
HB 4590,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04590F.pdf#navpanes=0
HB 4584,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04584F.pdf#navpanes=0
HB 4605,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04605F.pdf#navpanes=0
HB 4374,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04374F.pdf#navpanes=0
HB 4356,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04356F.pdf#navpanes=0
HB 4103,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04103F.pdf#navpanes=0
HB 4577,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04577F.pdf#navpanes=0
HB 4611,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB04611F.pdf#navpanes=0
HB 3856,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03856F.pdf#navpanes=0
HB 3682,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03682F.pdf#navpanes=0
HB 3752,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03752F.pdf#navpanes=0
HB 3897,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03897F.pdf#navpanes=0
HB 3610,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03610F.pdf#navpanes=0
HB 3607,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03607F.pdf#navpanes=0
HB 3459,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03459F.pdf#navpanes=0
HB 3388,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03388F.pdf#navpanes=0
HB 3286,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03286F.pdf#navpanes=0
HB 2951,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02951F.pdf#navpanes=0
HB 3436,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03436F.pdf#navpanes=0
HB 3140,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03140F.pdf#navpanes=0
HB 3289,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03289F.pdf#navpanes=0
HB 2835,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02835F.pdf#navpanes=0
HB 3530,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03530F.pdf#navpanes=0
HB 1116,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB01116F.pdf#navpanes=0
HB 954,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB00954F.pdf#navpanes=0
HB 999,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB00999F.pdf#navpanes=0
HB 2610,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB02610F.pdf#navpanes=0
HB 840,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB00840F.pdf#navpanes=0
HB 567,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB00567F.pdf#navpanes=0
HB 3217,Enro,https://capitol.texas.gov//tlodocs/87R/billtext/pdf/HB03217F.pdf#navpanes=0
